ID,Title,Link,Description,Published
1,"For Trump, Tariffs Are the Solution to Almost Any Problem",https://www.nytimes.com/2024/09/10/us/politics/trump-enthusiasm-tariffs.html,"The former president has proposed using tariffs to fund child care, boost manufacturing, quell immigration and encourage use of the dollar. Economists are skeptical.","Tue, 10 Sep 2024 19:04:25 +0000"
2,"Harris Economic Plan Focuses on Prices, a Key Vulnerability",https://www.nytimes.com/2024/09/10/us/politics/kamala-harris-economy-prices.html,Vice President Kamala Harris has been balancing the challenges of defending “Bidenomics” and charting her own course on the economy.,"Tue, 10 Sep 2024 13:54:35 +0000"
3,"Trump’s Promises to Cut Inflation Are Unrealistic, Many Economists Say",https://www.nytimes.com/2024/09/10/us/politics/trump-economics-gas-tariffs-inflation.html,Economists and analysts are dubious of Trump’s promises to slash gas prices or prod interest rates lower.,"Tue, 10 Sep 2024 17:12:29 +0000"
4,"Fearing Airstrikes, Gaza School Shelters Try to Bar Hamas and Others",https://www.nytimes.com/2024/09/10/world/middleeast/airstrikes-gaza-school-shelters-hamas.html,"Residents, already forced to flee their homes by intense bombardment, want to avoid becoming a target for Israeli forces hunting Hamas.","Tue, 10 Sep 2024 17:45:44 +0000"
5,"2,000-Pound Bombs Likely Used in Mawasi Strike",https://www.nytimes.com/2024/09/10/world/middleeast/israel-strike-mawasi-bombs.html,"The large size of the two craters left in the aftermath of the attack suggest that Israel used the powerful bombs, according to experts and a New York Times analysis.","Tue, 10 Sep 2024 18:11:04 +0000"
6,Israel Says Its Forces Likely Shot Slain American Unintentionally,https://www.nytimes.com/2024/09/10/world/middleeast/israel-west-bank-activist-shooting.html,"The Israeli military said the killing of Aysenur Eygi in the occupied West Bank was unintentional. The top U.S. diplomat said the shooting was “not acceptable,” and Israel’s conduct must change.","Tue, 10 Sep 2024 19:07:09 +0000"
7,"Johnson’s Spending Plan Falters, Facing Resistance From Both Parties",https://www.nytimes.com/2024/09/10/us/politics/johnson-spending-bill-republicans.html,The speaker’s first effort to avert a government shutdown ran into a buzz saw of opposition from both far-right and mainstream Republicans.,"Tue, 10 Sep 2024 19:22:25 +0000"
8,Inside the Funeral Home for New York’s Elite,https://www.nytimes.com/2024/09/10/style/funeral-home-new-york-celebrities.html,"Everybody dies. But not everybody is embalmed at Frank E. Campbell, a discreet mortuary on Manhattan’s Upper East Side.","Tue, 10 Sep 2024 15:00:46 +0000"
9,"Ukraine Strikes Russia With Large Drone Attack, Killing 1 Person",https://www.nytimes.com/2024/09/10/world/europe/russia-moscow-drone-strike-ukraine.html,"A woman in the capital region was killed during the attack, officials said. Russian air defenses shot down 20 drones around Moscow and almost 150 nationwide, according to the Defense Ministry.","Tue, 10 Sep 2024 17:05:05 +0000"
10,"U.S., Imposing Sanctions, Accuses Iran of Sending Missiles to Russia",https://www.nytimes.com/2024/09/10/world/europe/us-iran-russia-missiles-sanctions.html,"Secretary of State Antony J. Blinken spoke in London, where his British counterpart also promised a punitive response. They plan to visit Ukraine together.","Tue, 10 Sep 2024 19:07:36 +0000"
11,Adams Administration Seeks Police Commissioner Edward Caban’s Resignation,https://www.nytimes.com/2024/09/09/nyregion/caban-nypd-police-commissioner-resign.html,"Edward Caban has faced increasing pressure since last week, when federal agents searched the homes of top officials in the Adams administration and confiscated electronic devices.","Tue, 10 Sep 2024 01:05:46 +0000"
12,White House and WADA in Bitter Fight Over Chinese Doping Cases,https://www.nytimes.com/2024/09/10/world/europe/white-house-china-doping-wada.html,"World Anti-Doping Agency officials, furious at U.S. investigations into the handling of positive tests, have sought to exclude a Biden administration representative from its board meetings.","Tue, 10 Sep 2024 18:44:09 +0000"
13,‘Big Little Lies’ Author Liane Moriarty Would Rather Not Talk About Herself,https://www.nytimes.com/2024/09/10/books/here-one-moment-liane-moriarty.html,"The author of “Big Little Lies” and several other best-sellers has a new novel, “Here One Moment.” Promoting it — doing any publicity — remains a challenge, she said.","Tue, 10 Sep 2024 10:45:29 +0000"
14,Book Review: ‘Here One Moment’ by Liane Moriarty,https://www.nytimes.com/2024/09/10/books/review/liane-moriarty-here-one-moment.html,"There are stakes on the plane in “Here One Moment,” the latest from the Australian fiction powerhouse.","Tue, 10 Sep 2024 10:44:32 +0000"
15,"James Earl Jones’s Rich Career in Theater: ‘Othello,’ ‘The Great White Hope’ and More",https://www.nytimes.com/2024/09/10/theater/james-earl-jones-broadway-theater.html,"In addition to Broadway crowd-pleasers, the actor deftly navigated classics, experimental theater and new works by major contemporary playwrights.","Tue, 10 Sep 2024 17:29:48 +0000"
16,A Clear Choice on the Issue Voters Care About Most,https://www.nytimes.com/2024/09/09/opinion/harris-trump-debate-issues.html,Both Kamala Harris and Donald Trump have plans to address the high cost of living. The differences between them are stark.,"Mon, 09 Sep 2024 22:02:36 +0000"
17,The Trump-Harris Debate: Five Columnists Assess the Stakes,https://www.nytimes.com/2024/09/10/opinion/trump-harris-debate.html,What does success or failure look like for Donald Trump and Kamala Harris in Tuesday’s debate?,"Tue, 10 Sep 2024 05:00:11 +0000"
18,What Polls Say About a Key Group: Begrudging Trump Voters,https://www.nytimes.com/2024/09/10/opinion/harris-trump-debate-polls.html,"In Tuesday’s debate, the vice president needs to win over this slice of the electorate.","Tue, 10 Sep 2024 09:05:38 +0000"
19,Kamala Harris Could Be in Trouble,https://www.nytimes.com/2024/09/03/opinion/harris-trouble-debate.html,Her momentum stalled after a lackluster CNN interview. The debate is her best chance to restart it.,"Tue, 10 Sep 2024 14:04:35 +0000"
20,Teens: How Much Does the 2024 Election Matter to You?,https://www.nytimes.com/2024/09/08/headway/teens-2024-election-involvement.html,Join the Headway Election Challenge to share your thoughts and help shape the conversation.,"Sun, 08 Sep 2024 23:27:11 +0000"
21,Video Shows Police Confrontation With Miami Dolphins Player Escalating Quickly,https://www.nytimes.com/2024/09/09/us/tyreek-hill-miami-dolphins-traffic-stop.html,"Body camera footage showed an officer pulling Tyreek Hill out of his car on Sunday after repeatedly ordering him to keep the window down during a traffic stop, apparently for speeding.","Tue, 10 Sep 2024 03:05:29 +0000"
22,"Doctors Give Black Women Unneeded C-Sections to Fill Operating Rooms, Study Suggests",https://www.nytimes.com/2024/09/10/health/cesarean-sections-black-women.html,"Healthy Black women with low risk factors were far more likely to get C-sections than white women with similar medical histories, a large new study found.","Tue, 10 Sep 2024 16:09:29 +0000"
23,SpaceX’s Polaris Dawn Launch: What to Know About Planned Spacewalk,https://www.nytimes.com/2024/09/10/science/spacex-polaris-dawn-launch-spacewalk.html,The mission is taking people farther from Earth than anyone has traveled since the end of NASA’s Apollo moon missions.,"Tue, 10 Sep 2024 14:05:12 +0000"
24,Orange County Leader Faces Scrutiny Over Charity’s Pandemic Spending,https://www.nytimes.com/2024/09/10/us/orange-county-leader-faces-scrutiny-over-charitys-pandemic-spending.html,"Andrew Do, an Orange County supervisor, has been asked to resign after directing more than $13 million to a nonprofit run by his daughter and allies. The group was supposed to spend the money on meals for vulnerable residents.","Tue, 10 Sep 2024 12:00:11 +0000"
25,Nicole Eisenman at the Tipping Point,https://www.nytimes.com/2024/09/07/arts/design/nicole-eisenman-fixed-crane.html,"As the artist prepares for a major exhibition in Madison Square Park, Eisenman takes stock of the winding path to fame. What is gained and what is lost when your art is political?","Tue, 10 Sep 2024 16:39:23 +0000"
